"index","Normalised_ASHP_heat","Normalised_ASHP_elec","Normalised_GSHP_heat","Normalised_GSHP_elec","Normalised_Resistance_heater_heat","Normalised_Resistance_heater_elec","Normalised_Gas_boiler_heat","Normalised_Gas_boiler_gas","UK_daily_average_OAT_[degrees_C]"
"2013-01-01T00:00:00",5.266464116243414e-05,2.335331779579753e-05,6.53381681970342e-05,2.5619670831166803e-05,4.1733265354035676e-05,4.1733265354035676e-05,1.4803608405754632e-05,1.7623344242902813e-05,7.3
"2013-01-01T00:30:00",5.2769028684121006e-05,2.335331779579753e-05,6.634190674051676e-05,2.577531496188777e-05,8.94006878634641e-05,8.94006878634641e-05,1.4803608405754632e-05,1.7623344242902813e-05,7.3
"2013-01-01T01:00:00",5.418788351711486e-05,2.4004001879291047e-05,6.879061448159042e-05,2.6092234876273457e-05,9.078286089615997e-05,9.078286089615997e-05,1.5009182096585676e-05,1.786807437631613e-05,7.3
"2013-01-01T01:30:00",5.378885616594208e-05,2.3983103044259507e-05,6.843635711032374e-05,2.5955494636154096e-05,8.972431995284233e-05,8.972431995284233e-05,1.5009182096585676e-05,1.786807437631613e-05,7.3
"2013-01-01T02:00:00",5.8547066139217896e-05,2.573497022681266e-05,7.101116072544364e-05,2.6410354205101677e-05,8.725795319446602e-05,8.725795319446602e-05,1.536176273541738e-05,1.828781184803413e-05,7.3
"2013-01-01T02:30:00",5.8177548579533635e-05,2.5248806989965415e-05,7.087664447245388e-05,2.6410354205101677e-05,8.498471663918383e-05,8.498471663918383e-05,1.536176273541738e-05,1.828781184803413e-05,7.3
"2013-01-01T03:00:00",6.617597492090382e-05,2.749811295417619e-05,7.672764688894425e-05,2.8218766959791957e-05,8.044339786357073e-05,8.044339786357073e-05,1.6912617848539752e-05,2.013406967817834e-05,7.3
"2013-01-01T03:30:00",6.496339839101557e-05,2.6191649898434704e-05,7.688053551359898e-05,2.8218766959791957e-05,7.369963246263085e-05,7.369963246263085e-05,1.6912617848539752e-05,2.013406967817834e-05,7.3
"2013-01-01T04:00:00",6.910760258426074e-05,2.6816604269192997e-05,7.806475271074972e-05,2.798543014660955e-05,7.309900907056401e-05,7.309900907056401e-05,2.956957338155619e-05,3.520187497335128e-05,7.3
"2013-01-01T04:30:00",7.621575918461444e-05,3.0164601837447938e-05,7.818716292059061e-05,2.798543014660955e-05,7.309900907056401e-05,7.309900907056401e-05,3.7092325242989886e-05,4.4157529350575015e-05,7.3
"2013-01-01T05:00:00",8.8628083127045e-05,3.291343943912933e-05,7.854661658882991e-05,2.8334209725677302e-05,7.409373976680467e-05,7.409373976680467e-05,7.493794569892456e-05,8.92118374850189e-05,7.3
"2013-01-01T05:30:00",9.163354996057275e-05,3.426574600315552e-05,8.284849307715952e-05,2.9359039430122417e-05,7.4295472184268e-05,7.4295472184268e-05,9.767597612462383e-05,0.00011628092088837102,7.3
"2013-01-01T06:00:00",0.00011293639533331711,4.093600093642484e-05,8.612263573948563e-05,3.057408472559793e-05,7.727256569771778e-05,7.727256569771778e-05,0.00012813872511717244,0.00015254610640419612,7.3
"2013-01-01T06:30:00",0.00011896354732161017,4.331082055163614e-05,9.421747332165807e-05,3.2409874202359984e-05,7.727256569771778e-05,7.727256569771778e-05,0.00012813872511717244,0.00015254610640419612,7.3
"2013-01-01T07:00:00",0.00012006257462182484,4.452093181277225e-05,9.989528448884831e-05,3.417730055273257e-05,7.551065035947767e-05,7.551065035947767e-05,0.00013338509676856056,0.00015879178784989853,7.3
"2013-01-01T07:30:00",0.0001195451549243519,4.375062799385516e-05,9.936760507716429e-05,3.3877422464252716e-05,7.066095268923369e-05,7.066095268923369e-05,0.00012338231601397798,0.00014688371435342756,7.3
"2013-01-01T08:00:00",0.00011678087180199213,4.4101143751554744e-05,9.828772644600889e-05,3.379622595301163e-05,6.158314776412876e-05,6.158314776412876e-05,9.9270840656016e-05,0.0001181795756443851,7.3
"2013-01-01T08:30:00",0.0001135298851817607,4.29063975838895e-05,9.550546959118662e-05,3.328036934083261e-05,5.9712117183133816e-05,5.9712117183133816e-05,9.215706813847654e-05,0.00010971079425176388,7.3
"2013-01-01T09:00:00",0.00010371174431462653,3.856596848847837e-05,9.518776813415398e-05,3.342175687481241e-05,5.513650144876738e-05,5.513650144876738e-05,7.268437534429782e-05,8.652902209518795e-05,7.3
